action,plants,actionMs,allocatedBytes,maxFrameMs,plantInfoMs,worldChangedMs,guideMs,inventoryBuildMs,inventoryInitMs,inventorySubscribeMs,createMs,cloneMs,spawnMs,variantMs,writeMs,replayMs,installMs,findReplayMs,expandReplayMs,placementValidationMs,traitsMs,measureMs,scoreMs,selectStageMs,matchesMs,requirementsMs,isReadyMs
water.walk,36,0.001,403522,4.555,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.633,0.480,0.000,0.025,0.000,0.454,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,381942,4.711,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.084,0.000,0.018,0.000,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,339534,4.332,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.237,0.095,0.000,0.022,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,339686,4.242,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.247,0.104,0.000,0.023,0.000,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,404130,4.710,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.647,0.487,0.000,0.030,0.000,0.457,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,382550,5.239,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.088,0.000,0.018,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,340142,3.556,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.257,0.102,0.000,0.024,0.000,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.000,534805,5.504,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.820,0.516,0.000,0.068,0.000,0.447,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,411653,5.774,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.642,0.487,0.000,0.031,0.000,0.455,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,383158,5.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.237,0.098,0.000,0.022,0.000,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,340750,4.500,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.239,0.105,0.000,0.026,0.000,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,340902,3.845,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.246,0.108,0.000,0.023,0.000,0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,405346,5.539,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.693,0.524,0.000,0.031,0.000,0.492,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,383766,4.888,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.199,0.090,0.000,0.020,0.000,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,341358,3.876,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.243,0.103,0.000,0.022,0.000,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,341510,3.636,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.227,0.094,0.000,0.021,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,341662,4.115,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.305,0.125,0.000,0.028,0.000,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,406158,5.033,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.698,0.543,0.000,0.029,0.000,0.514,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,384526,4.740,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.191,0.087,0.000,0.018,0.000,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,342118,3.333,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.199,0.089,0.000,0.018,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,342270,4.481,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.293,0.128,0.000,0.032,0.000,0.095,0.000,0.000,0.000,0.000,0.000,0.000,0.000
