action,trial,actionMs,allocatedBytes,maxFrameMs
equip.tool,0,2.886,73184,17.623
equip.wood,0,1.981,35208,5.384
equip.tool,1,0.857,37208,4.351
equip.wood,1,0.656,35208,5.792
equip.tool,2,0.914,37208,5.915
equip.wood,2,1.003,35208,6.817
