action,plants,actionMs,allocatedBytes,maxFrameMs,plantInfoMs,worldChangedMs,guideMs,inventoryBuildMs,inventoryInitMs,inventorySubscribeMs,createMs,cloneMs,spawnMs,variantMs,writeMs,replayMs,installMs,findReplayMs,expandReplayMs,placementValidationMs,traitsMs,measureMs,scoreMs,selectStageMs,matchesMs,requirementsMs,isReadyMs
water.walk,0,0.001,234124,4.718,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.206,0.086,0.000,0.018,0.000,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,366431,4.345,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.785,0.496,0.000,0.065,0.000,0.429,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,191868,3.570,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.199,0.087,0.000,0.018,0.000,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,192020,3.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.228,0.109,0.000,0.023,0.000,0.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,256464,4.266,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.603,0.465,0.000,0.025,0.000,0.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,240149,5.353,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.206,0.089,0.000,0.018,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,192528,3.335,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.234,0.101,0.000,0.023,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,192628,2.918,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.195,0.090,0.000,0.018,0.000,0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.002,192780,3.610,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.205,0.087,0.000,0.021,0.000,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,257224,4.601,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.653,0.498,0.000,0.029,0.000,0.469,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,235644,4.825,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.215,0.089,0.000,0.018,0.000,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,193236,3.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.203,0.087,0.000,0.019,0.000,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,193388,2.981,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.213,0.098,0.000,0.021,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000
